id,name,name_uz,name_en,name_ru,name_kk
1,Andijon viloyati,Andijon viloyati,Andijan region,Андижанская область,0
2,Farg'ona viloyati,Farg'ona viloyati,Fergana region,Ферганская область,0
3,Namangan viloyati,Namangan viloyati,Namangan region,Наманганская область,0
4,Buxoro viloyati,Buxoro viloyati,Bukhara region,Бухарская область,0
5,Navoiy viloyati,Navoiy viloyati,Navoi region,Навоийская область,0
6,Xorazm viloyati,Xorazm viloyati,Khorezm region,Хорезмская область,0
7,Samarqand viloyati,Samarqand viloyati,Samarkand region,Самаркандская область,0
8,Qashqadaryo viloyati,Qashqadaryo viloyati,Kashkadarya region,Кашкадарьинская область,0
9,Surxondaryo viloyati,Surxondaryo viloyati,Surkhandarya region,Сурхандарьинская область,0
10,Sirdaryo viloyati,Sirdaryo viloyati,Syrdarya region,Сырдарьинская область,0
11,Jizzax viloyati,Jizzax viloyati,0,0,0
12,Toshkent viloyati,Toshkent viloyati,0,0,0
13,Qoraqalpog'iston Respublikasi,Qoraqalpog'iston Respublikasi,Republic of Karakalpakstan,Республика Каракалпакстан,0
